airport_key,airport,airport_icao,latitude_x,longitude_x,timezone,city,country,continent,country_code,geoname_id,name,asciiname,alternatenames,admin1_code,admin2_code,latitude_y,longitude_y,haversine,state,county
39,Tatakoto,NTGO,-17.283333,-138.33333000000002,Pacific/Tahiti,Tatakoto,French Polynesia,Oceania,PF,7730698,Tatakoto Airport,Tatakoto Airport,"Aerodrome de Tatakoto,Aérodrôme de Tatakoto,NTGO,TKV,Tatakoto Airport",03,,-17.3553,-138.44501,14.303301731200463,Îles Tuamotu-Gambier,
40,Takaroa,NTKR,-14.457749,-145.0264,Pacific/Tahiti,Takaroa,French Polynesia,Oceania,PF,7730129,Takaroa Airport,Takaroa Airport,"Aeroport de Takaroa,Aeropuerto de Takaroa,Aéroport de Takaroa,Flughafen Takaroa,NTKR,TKX,Takaroa Airport",03,10295365,-14.45621,-145.02631,0.17140338956813278,Îles Tuamotu-Gambier,Takaroa
41,Tetiaroa Island,NTTE,-17.083332000000002,-149.5,Pacific/Tahiti,Tetiaroa Island,French Polynesia,Oceania,PF,7730707,Tetiaroa Airport,Tetiaroa Airport,"NTTE,TTI",,,-17.0133,-149.58701000000002,12.091405068627802,,
42,Tubuai,NTAT,-23.35,-149.46666000000002,Pacific/Tahiti,Tubuai,French Polynesia,Oceania,PF,6299964,Tubuai – Mataura Airport,Tubuai - Mataura Airport,"Aeroport de Tubuai – Mataura,Aeropuerto de Tubuai – Mataura,Aéroport de Tubuai – Mataura,NTAT,TUB,Tubuai – Mataura Airport",05,10295375,-23.36535,-149.52407,6.104045059831843,Îles Australes,Tubuai
43,Ua Huka,NTMU,-8.933333,-139.55,Pacific/Marquesas,Ua Huka,French Polynesia,Oceania,PF,7730706,Ua Huka Airport,Ua Huka Airport,"Aeroport de Ua Huka,Aeropuerto de Ua Huka,Aéroport de Ua Huka,Flughafen Ua Huka,NTMU,UAH,Ua Huka Airport",04,10295206,-8.93631,-139.55387,0.5387876642948675,Îles Marquises,Ua Huka
44,Ua Pou,NTMP,-9.343477,-140.08125,Pacific/Marquesas,Ua Pou,French Polynesia,Oceania,PF,7730705,Ua Pou Airport,Ua Pou Airport,"Aeroport de Ua Pou,Aéroport de Ua Pou,NTMP,UAP,Ua Pou Airport",04,10295207,-9.34742,-140.07963999999998,0.47269023221933126,Îles Marquises,Ua-Pou
45,Vahitahi,NTUV,-18.583332000000002,-138.83333000000002,Pacific/Tahiti,Vahitahi,French Polynesia,Oceania,PF,7730708,Vahitahi Airport,Vahitahi Airport,"Aeroport de Vahitahi,Aéroport de Vahitahi,NTUV,VHZ,Vahitahi Airport",03,,-18.78,-138.85299999999998,21.96645073814538,Îles Tuamotu-Gambier,
46,Manihi,NTGI,-14.43795,-146.07051,Pacific/Tahiti,Manihi,French Polynesia,Oceania,PF,6355147,Manihi Airport,Manihi Airport,"Aeroport de Manihi,Aéroport de Manihi,Manihi Airport,NTGI,XMH",03,10295319,-14.43418,-146.06641000000002,0.6088187484507407,Îles Tuamotu-Gambier,Manihi
47,Tureira,NTGY,-20.816668,-138.5,Pacific/Tahiti,Tureira,French Polynesia,Oceania,PF,7730701,Tureia Airport,Tureia Airport,"NTGY,ZTA",,,-20.7897,-138.57001,7.870868851536529,,
48,Arrabury,YARY,-26.7,141.04166999999998,Australia/Brisbane,Arrabury,Australia,Oceania,AU,7730796,Arrabury Airport,Arrabury Airport,"AAB,Arrabury Airport,YARY",4.0,30450.0,-26.693170000000002,141.0478,0.9734574500680402,,
49,Alpha,YAPH,-23.65,146.63333,Australia/Brisbane,Alpha,Australia,Oceania,AU,7668679,Alpha Airport,Alpha Airport,"ABH,YAPH",4.0,30410.0,-23.6461,146.584,5.043317487359078,,
50,Bamaga Injinoo,YBAM,-10.942619,142.45033,Australia/Brisbane,Bamaga,Australia,Oceania,AU,7730800,Northern Peninsula Airport,Northern Peninsula Airport,"ABM,Bamaga Airport,Bamaga/Injinoo Airport,Northern Peninsula Airport,YBAM,YNPE",4.0,36950.0,-10.9508,142.459,1.3127945474367528,,
51,Albury,YMAY,-36.069626,146.95453,Australia/Sydney,Albury,Australia,Oceania,AU,6301309,Albury Airport,Albury Airport,"ABX,YMAY",2.0,10050.0,-36.06778,146.95806000000002,0.3778876897402908,,
52,Adelaide International Airport,YPAD,-34.938175,138.53735,Australia/Adelaide,Adelaide,Australia,Oceania,AU,6301322,Adelaide Airport,Adelaide Airport,"ADL,Adelaida,Adelaide Airport,Adelaide Lufthavn,Adelaide lufthavn,Aeroport international dAdelaide,Aeroporto Internacional de Adelaide,Aeroporto di Adelaide,Aeropuerto Internacional de Adelaida,Aéroport international dAdélaïde,Bandar Udara Internasional Adelaide,Flughafen Adelaide,Lapangan Terbang Antarabangsa Adelaide,Port lotniczy Adelaide,San bay quoc te Adelaide,Sân bay quốc tế Adelaide,YPAD,a de lai de ji chang,aderedo kong gang,aedeulleideu gonghang,frwdgah adlayd,Аделаида,Аделаїда,Фурудгоҳи одлоид,فرودگاه آدلاید,アデレード空港,阿德萊德機場,애들레이드 공항",5.0,48410.0,-34.945,138.53056,0.9792814546614598,,
53,Andamooka,YAMK,-31.016665999999997,137.15,Australia/Adelaide,Andamooka,Australia,Oceania,AU,7730805,Andamooka Airport,Andamooka Airport,"ADO,YAMK",5.0,,-30.4383,137.13699,64.32347529482352,,
