airport_key,airport,airport_icao,latitude,longitude,timezone,city,country,continent
110,Canobie,YCBE,-19.478611,140.92612,Australia/Brisbane,Canobie,Australia,Oceania
111,Chinchilla,YCCA,-26.75,150.63333,Australia/Brisbane,Chinchilla,Australia,Oceania
112,Cowell,YCWL,-33.63333,136.83333,Australia/Adelaide,Cowell,Australia,Oceania
113,Cooinda,YCOO,-12.905278,132.5225,Australia/Darwin,Cooinda,Australia,Oceania
114,Croydon,YCRY,-18.3,142.25,Australia/Brisbane,Croydon,Australia,Oceania
115,Camden,YSCN,-15.45,124.416664,Australia/Sydney,Camden,Australia,Oceania
116,Ceduna,YCDU,-32.12378,133.70122,Australia/Adelaide,Ceduna,Australia,Oceania
117,Cessnock,YCNK,-32.833332,151.35,Australia/Sydney,Cessnock,Australia,Oceania
118,Camfield,YCFD,-17.033333,131.28334,Australia/Darwin,Camfield,Australia,Oceania
119,Coffs Harbour,YSCH,-30.322863,153.1153,Australia/Sydney,Coffs Harbour,Australia,Oceania
120,Caiguna,YCAG,-32.266666,125.46667,Australia/Eucla,Caiguna,Australia,Oceania
121,Croker Island,YCKI,-11.2,132.53334,Australia/Darwin,Croker Island,Australia,Oceania
122,Coolah,YCAH,-31.833332,149.7,Australia/Sydney,Coolah,Australia,Oceania
123,Cunnamulla,YCMU,-28.03139,145.6161,Australia/Brisbane,Cunnamulla,Australia,Oceania
124,Cootamundra,YCTM,-34.628334,148.04333,Australia/Sydney,Cootamundra,Australia,Oceania
125,Camooweal,YCMW,-19.933332,138.11667,Australia/Brisbane,Camooweal,Australia,Oceania
126,Clermont,YCMT,-22.866667,147.5,Australia/Brisbane,Clermont,Australia,Oceania
127,Coonamble,YCNM,-30.980833,148.37833,Australia/Sydney,Coonamble,Australia,Oceania
128,Coconut Island,YCCT,-10.050179,143.06659,Australia/Brisbane,Coconut Island,Australia,Oceania
129,Cloncurry,YCCY,-20.668905,140.50851,Australia/Brisbane,Cloncurry,Australia,Oceania
130,Cairns,YBCS,-16.876537,145.75404,Australia/Brisbane,Cairns,Australia,Oceania
131,Coonabarabran,YCBB,-31.337221,149.27194,Australia/Sydney,Coonabarabran,Australia,Oceania
132,Coober Pedy,YCBP,-29.044443,134.75278,Australia/Adelaide,Coober Pedy,Australia,Oceania
133,Collarenebri,YCBR,-29.55,148.58333,Australia/Sydney,Collarenebri,Australia,Oceania
134,Casino,YCAS,-28.883333,153.05833,Australia/Sydney,Casino,Australia,Oceania
135,Charleville,YBCV,-26.413334,146.25842,Australia/Brisbane,Charleville,Australia,Oceania
136,Cooktown,YCKN,-15.443333,145.18333,Australia/Brisbane,Cooktown,Australia,Oceania
137,Caloundra,YCDR,-26.8,153.15,Australia/Brisbane,Caloundra,Australia,Oceania
138,Cudal,YCUA,-32.0,151.0,Australia/Sydney,Cudal,Australia,Oceania
139,Coen,YCOE,-13.763889,143.11333,Australia/Brisbane,Coen,Australia,Oceania
140,Cue,YCUE,-27.45,117.916664,Australia/Perth,Cue,Australia,Oceania
141,Cleve,YCEE,-33.7,136.5,Australia/Adelaide,Cleve,Australia,Oceania
142,Carnarvon,YCAR,-24.883429,113.66358,Australia/Perth,Carnarvon,Australia,Oceania
143,Cowarie,YCWI,-27.716667,138.33333,Australia/Adelaide,Cowarie,Australia,Oceania
144,Cowra,YCWR,-33.855,148.64667,Australia/Sydney,Cowra,Australia,Oceania
145,Corowa,YCOR,-35.966667,146.35,Australia/Sydney,Corowa,Australia,Oceania
146,Charters Towers,YCHT,-20.046667,146.26917,Australia/Brisbane,Charters Towers,Australia,Oceania
147,Corryong,YCRG,-36.25,147.9,Australia/Melbourne,Corryong,Australia,Oceania
148,Cluny,YUNY,-24.516666,139.53334,Australia/Brisbane,Cluny,Australia,Oceania
149,Dubbo,YSDU,-32.218822,148.56956,Australia/Sydney,Dubbo,Australia,Oceania
150,Dalby,YDAY,-27.15,151.26666,Australia/Brisbane,Dalby,Australia,Oceania
151,RAAF Curtin,YCIN,-17.573702,123.82323,Australia/Perth,Derby,Australia,Oceania
152,Derby,YDBY,-17.373333,123.6525,Australia/Perth,Derby,Australia,Oceania
153,Delta Downs,YDLT,-16.916668,141.3,Australia/Brisbane,Delta Downs,Australia,Oceania
154,Drumduff,YDDF,-16.0,143.33333,Australia/Brisbane,Drumduff,Australia,Oceania
155,Mudgee,YMDG,-32.566666,149.61667,Australia/Sydney,Mudgee,Australia,Oceania
156,Durham Downs,YDRH,-26.1,149.08333,Australia/Brisbane,Durham Downs,Australia,Oceania
157,Dunk Island,YDKI,-17.941668,146.13667,Australia/Brisbane,Dunk Island,Australia,Oceania
158,Docker River,YDVR,-24.866667,129.08333,Australia/Darwin,Docker River,Australia,Oceania
159,Dulkaninna,YDLK,-29.016666,139.46666,Australia/Adelaide,Dulkaninna,Australia,Oceania
160,Delissaville,YDLV,-12.566667,130.63333,Australia/Darwin,Delissaville,Australia,Oceania
161,Doomadgee,YDMG,-17.939201,138.8216,Australia/Brisbane,Doomadgee,Australia,Oceania
162,Dunbar,YDBR,-16.010834,142.39055,Australia/Brisbane,Dunbar,Australia,Oceania
163,Deniliquin,YDLQ,-35.56,144.95166,Australia/Sydney,Deniliquin,Australia,Oceania
164,Devonport,YDPO,-41.172054,146.42754,Australia/Hobart,Devonport,Australia,Oceania
165,Dorunda Station,YDOR,-16.5,142.33333,Australia/Brisbane,Dorunda Station,Australia,Oceania
166,Dirranbandi,YDBI,-28.586666,148.21527,Australia/Brisbane,Dirranbandi,Australia,Oceania
167,Durrie,YDRI,-25.616667,140.21666,Australia/Brisbane,Durrie,Australia,Oceania
168,Darwin,YPDN,-12.407805,130.87752,Australia/Darwin,Darwin,Australia,Oceania
169,Davenport Downs,YDPD,-24.133333,141.11667,Australia/Brisbane,Davenport Downs,Australia,Oceania
170,Daly River,YDMN,-13.75,130.68333,Australia/Darwin,Daly River,Australia,Oceania
171,Dysart,YDYS,-23.5,148.0,Australia/Brisbane,Dysart,Australia,Oceania
172,Echuca,YECH,-36.15,144.75,Australia/Melbourne,Echuca,Australia,Oceania
173,Edward River,YPMP,-14.9,141.61667,Australia/Brisbane,Edward River,Australia,Oceania
